iter	Passed	Remaining
0	47	47432
1	47	23913
2	48	16059
3	48	12132
4	49	9776
5	49	8206
6	49	7083
7	50	6240
8	50	5584
9	51	5060
10	51	4632
11	51	4275
12	52	3971
13	52	3711
14	53	3486
15	53	3289
16	53	3115
17	54	2961
18	54	2822
19	55	2697
20	55	2584
21	55	2482
22	56	2389
23	56	2303
24	57	2225
25	57	2152
26	57	2084
27	58	2021
28	58	1962
29	59	1908
30	59	1857
31	59	1809
32	60	1764
33	60	1722
34	60	1681
35	61	1643
36	61	1608
37	62	1574
38	62	1542
39	62	1511
40	63	1482
41	63	1453
42	64	1427
43	64	1402
44	64	1378
45	65	1354
46	65	1332
47	66	1311
48	66	1291
49	66	1271
50	67	1252
51	67	1234
52	68	1216
53	68	1199
54	68	1183
55	69	1168
56	69	1152
57	70	1138
58	71	1137
59	71	1124
60	72	1112
61	72	1101
62	73	1093
63	74	1090
64	75	1086
65	76	1083
66	77	1079
67	78	1075
68	79	1072
69	80	1069
70	81	1065
71	82	1061
72	83	1058
73	84	1054
74	85	1051
75	86	1048
76	87	1049
77	88	1041
78	89	1039
79	90	1036
80	91	1033
81	92	1030
82	92	1024
83	93	1019
84	94	1016
85	95	1014
86	96	1012
87	97	1009
88	98	1007
89	99	1005
90	99	997
91	100	988
92	100	981
93	100	973
94	101	965
95	101	958
96	102	950
97	102	943
98	102	936
99	103	929
100	103	922
101	104	916
102	104	909
103	104	903
104	105	897
105	105	891
106	106	885
107	106	879
108	106	873
109	107	867
110	107	862
111	108	856
112	108	850
113	108	845
114	109	840
115	109	835
116	109	829
117	110	824
118	110	819
119	111	814
120	111	809
121	111	804
122	112	799
123	112	795
124	112	790
125	113	786
126	113	781
127	114	776
128	114	772
129	114	768
130	115	764
131	115	760
132	116	756
133	116	752
134	116	748
135	117	744
136	117	740
137	117	736
138	118	733
139	118	729
140	119	726
141	119	721
142	119	717
143	120	714
144	120	710
145	120	707
146	121	704
147	121	700
148	122	697
149	122	694
150	122	691
151	123	687
152	123	685
153	124	682
154	124	679
155	125	676
156	125	673
157	125	670
158	126	667
159	126	664
160	126	660
161	127	658
162	127	655
163	128	652
164	128	649
165	128	647
166	129	644
167	129	641
168	129	639
169	130	636
170	130	633
171	131	631
172	131	628
173	131	626
174	132	623
175	132	621
176	133	618
177	133	616
178	133	613
179	134	611
180	134	609
181	135	606
182	135	604
183	135	602
184	136	600
185	136	597
186	136	595
187	137	593
188	137	591
189	138	589
190	138	586
191	138	584
192	139	582
193	139	581
194	140	579
195	140	576
196	141	574
197	141	572
198	141	570
199	142	568
200	142	566
201	142	564
202	143	562
203	143	560
204	144	558
205	144	557
206	144	555
207	145	553
208	145	551
209	146	549
210	146	547
211	146	545
212	147	544
213	147	542
214	147	540
215	148	538
216	148	536
217	149	534
218	149	533
219	149	531
220	150	529
221	150	527
222	151	526
223	151	524
224	151	522
225	152	521
226	152	519
227	152	517
228	153	516
229	153	514
230	154	512
231	154	511
232	154	509
233	155	508
234	155	506
235	155	504
236	156	503
237	156	501
238	157	500
239	157	498
240	157	497
241	158	495
242	158	494
243	158	492
244	159	491
245	159	489
246	160	488
247	160	486
248	160	485
249	161	483
250	161	482
251	162	480
252	162	479
253	162	478
254	163	476
255	163	475
256	163	474
257	164	472
258	164	471
259	165	469
260	165	468
261	165	467
262	166	465
263	166	464
264	167	463
265	167	462
266	167	460
267	168	459
268	168	458
269	168	456
270	169	455
271	169	454
272	170	452
273	170	451
274	170	450
275	171	449
276	171	447
277	172	446
278	172	445
279	172	444
280	173	443
281	173	441
282	173	440
283	174	439
284	174	438
285	175	436
286	175	435
287	175	434
288	176	433
289	176	432
290	176	431
291	177	429
292	177	428
293	178	427
294	178	426
295	178	425
296	179	424
297	179	423
298	180	422
299	180	421
300	180	419
301	181	418
302	181	417
303	181	416
304	182	415
305	182	414
306	183	413
307	183	412
308	183	411
309	184	410
310	184	409
311	184	407
312	185	406
313	185	405
314	186	404
315	186	403
316	186	402
317	187	401
318	187	400
319	188	399
320	188	398
321	188	397
322	189	396
323	189	395
324	189	394
325	190	393
326	190	392
327	191	391
328	191	390
329	191	389
330	192	388
331	192	387
332	192	386
333	193	385
334	193	384
335	194	383
336	194	382
337	194	381
338	195	380
339	195	379
340	196	378
341	196	377
342	196	376
343	197	375
344	197	375
345	197	374
346	198	373
347	198	372
348	199	371
349	199	370
350	199	369
351	200	368
352	200	367
353	200	366
354	201	365
355	201	364
356	202	363
357	202	362
358	202	362
359	203	361
360	203	360
361	203	359
362	204	358
363	204	357
364	205	356
365	205	355
366	205	355
367	206	354
368	206	353
369	207	352
370	207	351
371	207	350
372	208	349
373	208	349
374	208	348
375	209	347
376	209	346
377	210	345
378	210	344
379	210	343
380	211	343
381	211	342
382	211	341
383	212	340
384	212	339
385	213	338
386	213	338
387	213	337
388	214	336
389	214	335
390	214	334
391	215	333
392	215	333
393	216	332
394	216	331
395	216	330
396	217	329
397	217	329
398	217	328
399	218	327
400	218	326
401	219	325
402	219	325
403	219	324
404	220	323
405	220	322
406	220	321
407	221	321
408	221	320
409	222	319
410	222	318
411	222	317
412	223	317
413	223	316
414	223	315
415	224	314
416	224	314
417	225	313
418	225	312
419	225	311
420	226	311
421	226	310
422	226	309
423	227	308
424	227	308
425	228	307
426	228	306
427	228	305
428	229	304
429	229	304
430	229	303
431	230	302
432	230	302
433	231	301
434	231	300
435	231	299
436	232	299
437	232	298
438	232	297
439	233	296
440	233	296
441	234	295
442	234	294
443	234	294
444	235	293
445	235	292
446	235	291
447	236	291
448	236	290
449	237	289
450	237	289
451	237	288
452	238	287
453	238	286
454	238	286
455	239	285
456	239	284
457	240	284
458	240	283
459	240	282
460	241	282
461	241	281
462	242	280
463	242	280
464	242	279
465	243	278
466	243	278
467	243	277
468	244	276
469	244	275
470	245	275
471	245	274
472	245	273
473	246	273
474	246	272
475	246	271
476	247	271
477	247	270
478	248	269
479	248	269
480	248	268
481	249	267
482	249	267
483	250	266
484	250	265
485	250	265
486	251	264
487	251	263
488	251	263
489	252	262
490	252	261
491	253	261
492	253	260
493	253	260
494	254	259
495	254	258
496	254	258
497	255	257
498	255	256
499	256	256
500	256	255
501	256	254
502	257	254
503	257	253
504	257	252
505	258	252
506	258	251
507	259	250
508	259	250
509	259	249
510	260	248
511	260	248
512	261	247
513	261	247
514	261	246
515	262	245
516	262	245
517	262	244
518	263	244
519	263	243
520	264	242
521	264	242
522	264	241
523	265	240
524	265	240
525	266	239
526	266	239
527	266	238
528	267	237
529	267	237
530	267	236
531	268	236
532	268	235
533	269	234
534	269	234
535	269	233
536	270	232
537	270	232
538	270	231
539	271	231
540	271	230
541	272	229
542	272	229
543	272	228
544	273	228
545	273	227
546	273	226
547	274	226
548	274	225
549	275	225
550	275	224
551	275	223
552	276	223
553	276	222
554	277	222
555	277	221
556	277	220
557	278	220
558	278	219
559	278	219
560	279	218
561	279	217
562	280	217
563	280	216
564	280	216
565	281	215
566	281	215
567	281	214
568	282	213
569	282	213
570	283	212
571	283	212
572	283	211
573	284	210
574	284	210
575	284	209
576	285	209
577	285	208
578	286	208
579	286	207
580	286	206
581	287	206
582	287	205
583	288	205
584	288	204
585	288	204
586	289	203
587	289	202
588	289	202
589	290	201
590	290	201
591	291	200
592	291	200
593	291	199
594	292	198
595	292	198
596	292	197
597	293	197
598	293	196
599	294	196
600	294	195
601	294	194
602	295	194
603	295	193
604	295	193
605	296	192
606	296	192
607	297	191
608	297	190
609	297	190
610	298	189
611	298	189
612	298	188
613	299	188
614	299	187
615	300	187
616	300	186
617	300	185
618	301	185
619	301	184
620	302	184
621	302	183
622	302	183
623	303	182
624	303	182
625	303	181
626	304	181
627	304	180
628	305	179
629	305	179
630	305	178
631	306	178
632	306	177
633	307	177
634	307	176
635	307	176
636	308	175
637	308	175
638	308	174
639	309	173
640	309	173
641	310	172
642	310	172
643	310	171
644	311	171
645	311	170
646	311	170
647	312	169
648	312	169
649	313	168
650	313	168
651	313	167
652	314	167
653	314	166
654	315	165
655	315	165
656	315	164
657	316	164
658	316	163
659	316	163
660	317	162
661	317	162
662	318	161
663	318	161
664	318	160
665	319	160
666	319	159
667	319	159
668	320	158
669	320	157
670	321	157
671	321	156
672	321	156
673	322	155
674	322	155
675	323	154
676	323	154
677	323	153
678	324	153
679	324	152
680	324	152
681	325	151
682	326	151
683	326	150
684	326	150
685	327	149
686	327	149
687	327	148
688	328	148
689	328	147
690	329	147
691	329	146
692	329	146
693	330	145
694	330	145
695	330	144
696	331	144
697	331	143
698	332	143
699	332	142
700	332	141
701	333	141
702	333	140
703	334	140
704	334	139
705	334	139
706	335	138
707	335	138
708	335	137
709	336	137
710	336	136
711	337	136
712	337	135
713	337	135
714	338	134
715	338	134
716	338	133
717	339	133
718	339	132
719	340	132
720	340	131
721	340	131
722	341	130
723	341	130
724	342	129
725	342	129
726	342	128
727	343	128
728	343	127
729	343	127
730	344	126
731	344	126
732	345	125
733	345	125
734	345	124
735	346	124
736	346	123
737	346	123
738	347	122
739	347	122
740	348	121
741	348	121
742	348	120
743	349	120
744	349	119
745	350	119
746	350	118
